p,n,h,td,dual_raw
COAL,GERMANY,8,8,1.026000000000169
COAL,GERMANY,8,9,0.4140000000000681
COAL,GERMANY,8,10,0.468000000000077
COAL,GERMANY,8,11,0.6120000000001008
COAL,GERMANY,8,12,0.8460000000001393
COAL,GERMANY,9,1,0.48600000000008
COAL,GERMANY,9,2,0.3060000000000504
COAL,GERMANY,9,3,0.1800000000000296
COAL,GERMANY,9,4,0.6300000000001037
COAL,GERMANY,9,5,0.6480000000001066
COAL,GERMANY,9,6,0.2700000000000444
COAL,GERMANY,9,7,0.6840000000001125
COAL,GERMANY,9,8,1.026000000000169
COAL,GERMANY,9,9,0.4140000000000681
COAL,GERMANY,9,10,0.468000000000077
COAL,GERMANY,9,11,0.6120000000001008
COAL,GERMANY,9,12,0.8460000000001393
COAL,GERMANY,10,1,0.48600000000008
COAL,GERMANY,10,2,0.3060000000000504
COAL,GERMANY,10,3,0.1800000000000296
COAL,GERMANY,10,4,0.6300000000001037
COAL,GERMANY,10,5,0.6480000000001066
COAL,GERMANY,10,6,0.2700000000000444
COAL,GERMANY,10,7,0.6840000000001125
COAL,GERMANY,10,8,1.026000000000169
COAL,GERMANY,10,9,0.4140000000000681
COAL,GERMANY,10,10,0.468000000000077
COAL,GERMANY,10,11,0.6120000000001008
COAL,GERMANY,10,12,0.8460000000001393
COAL,GERMANY,11,1,0.48600000000008
COAL,GERMANY,11,2,0.3060000000000504
COAL,GERMANY,11,3,0.1800000000000296
COAL,GERMANY,11,4,0.6300000000001037
COAL,GERMANY,11,5,0.6480000000001066
COAL,GERMANY,11,6,0.2700000000000444
COAL,GERMANY,11,7,0.6840000000001125
COAL,GERMANY,11,8,1.026000000000169
COAL,GERMANY,11,9,0.4140000000000681
COAL,GERMANY,11,10,0.468000000000077
COAL,GERMANY,11,11,0.6120000000001008
COAL,GERMANY,11,12,0.8460000000001393
COAL,GERMANY,12,1,0.48600000000008
COAL,GERMANY,12,2,0.3060000000000504
COAL,GERMANY,12,3,0.1800000000000296
COAL,GERMANY,12,4,0.6300000000001037
COAL,GERMANY,12,5,0.6480000000001066
COAL,GERMANY,12,6,0.2700000000000444
COAL,GERMANY,12,7,0.6840000000001125
COAL,GERMANY,12,8,1.026000000000169
COAL,GERMANY,12,9,0.4140000000000681
COAL,GERMANY,12,10,0.468000000000077
COAL,GERMANY,12,11,0.6120000000001008
COAL,GERMANY,12,12,0.8460000000001393
COAL,GERMANY,13,1,0.48600000000008
COAL,GERMANY,13,2,0.3060000000000504
COAL,GERMANY,13,3,0.1800000000000296
COAL,GERMANY,13,4,0.6300000000001037
COAL,GERMANY,13,5,0.6480000000001066
COAL,GERMANY,13,6,0.2700000000000444
COAL,GERMANY,13,7,0.6840000000001125
COAL,GERMANY,13,8,1.026000000000169
COAL,GERMANY,13,9,0.4140000000000681
COAL,GERMANY,13,10,0.468000000000077
COAL,GERMANY,13,11,0.6120000000001008
COAL,GERMANY,13,12,0.8460000000001393
COAL,GERMANY,14,1,0.48600000000008
COAL,GERMANY,14,2,0.3060000000000504
COAL,GERMANY,14,3,0.1800000000000296
COAL,GERMANY,14,4,0.6300000000001037
COAL,GERMANY,14,5,0.6480000000001066
COAL,GERMANY,14,6,0.2700000000000444
COAL,GERMANY,14,7,0.6840000000001125
COAL,GERMANY,14,8,1.026000000000169
COAL,GERMANY,14,9,0.4140000000000681
COAL,GERMANY,14,10,0.468000000000077
COAL,GERMANY,14,11,0.6120000000001008
COAL,GERMANY,14,12,0.8460000000001393
COAL,GERMANY,15,1,0.48600000000008
COAL,GERMANY,15,2,0.3060000000000504
COAL,GERMANY,15,3,0.1800000000000296
COAL,GERMANY,15,4,0.6300000000001037
COAL,GERMANY,15,5,0.6480000000001066
COAL,GERMANY,15,6,0.2700000000000444
COAL,GERMANY,15,7,0.6840000000001125
COAL,GERMANY,15,8,1.026000000000169
COAL,GERMANY,15,9,0.4140000000000681
COAL,GERMANY,15,10,0.468000000000077
COAL,GERMANY,15,11,0.6120000000001008
COAL,GERMANY,15,12,0.8460000000001393
COAL,GERMANY,16,1,0.48600000000008
COAL,GERMANY,16,2,0.3060000000000504
COAL,GERMANY,16,3,0.1800000000000296
COAL,GERMANY,16,4,0.6300000000001037
COAL,GERMANY,16,5,0.6480000000001066
COAL,GERMANY,16,6,0.2700000000000444
COAL,GERMANY,16,7,0.6840000000001125
COAL,GERMANY,16,8,1.026000000000169
COAL,GERMANY,16,9,0.4140000000000681
COAL,GERMANY,16,10,0.468000000000077
COAL,GERMANY,16,11,0.6120000000001008
COAL,GERMANY,16,12,0.8460000000001393
COAL,GERMANY,17,1,0.48600000000008
COAL,GERMANY,17,2,0.3060000000000504
COAL,GERMANY,17,3,0.1800000000000296
COAL,GERMANY,17,4,0.6300000000001037
COAL,GERMANY,17,5,0.6480000000001066
COAL,GERMANY,17,6,0.2700000000000444
COAL,GERMANY,17,7,0.6840000000001125
COAL,GERMANY,17,8,1.026000000000169
COAL,GERMANY,17,9,0.4140000000000681
COAL,GERMANY,17,10,0.468000000000077
COAL,GERMANY,17,11,0.6120000000001008
COAL,GERMANY,17,12,0.8460000000001393
COAL,GERMANY,18,1,0.48600000000008
COAL,GERMANY,18,2,0.3060000000000504
COAL,GERMANY,18,3,0.1800000000000296
COAL,GERMANY,18,4,0.6300000000001037
COAL,GERMANY,18,5,0.6480000000001066
COAL,GERMANY,18,6,0.2700000000000444
COAL,GERMANY,18,7,0.6840000000001125
COAL,GERMANY,18,8,1.026000000000169
COAL,GERMANY,18,9,0.4140000000000681
COAL,GERMANY,18,10,0.468000000000077
COAL,GERMANY,18,11,0.6120000000001008
COAL,GERMANY,18,12,0.8460000000001393
COAL,GERMANY,19,1,0.48600000000008
COAL,GERMANY,19,2,0.3060000000000504
COAL,GERMANY,19,3,0.1800000000000296
COAL,GERMANY,19,4,0.6300000000001037
COAL,GERMANY,19,5,0.6480000000001066
COAL,GERMANY,19,6,0.2700000000000444
COAL,GERMANY,19,7,0.6840000000001125
COAL,GERMANY,19,8,1.026000000000169
COAL,GERMANY,19,9,0.4140000000000681
COAL,GERMANY,19,10,0.468000000000077
COAL,GERMANY,19,11,0.6120000000001008
COAL,GERMANY,19,12,0.8460000000001393
COAL,GERMANY,20,1,0.48600000000008
COAL,GERMANY,20,2,0.3060000000000504
COAL,GERMANY,20,3,0.1800000000000296
COAL,GERMANY,20,4,0.6300000000001037
COAL,GERMANY,20,5,0.6480000000001066
COAL,GERMANY,20,6,0.2700000000000444
COAL,GERMANY,20,7,0.6840000000001125
COAL,GERMANY,20,8,1.026000000000169
COAL,GERMANY,20,9,0.4140000000000681
COAL,GERMANY,20,10,0.468000000000077
COAL,GERMANY,20,11,0.6120000000001008
COAL,GERMANY,20,12,0.8460000000001393
COAL,GERMANY,21,1,0.48600000000008
COAL,GERMANY,21,2,0.3060000000000504
COAL,GERMANY,21,3,0.1800000000000296
COAL,GERMANY,21,4,0.6300000000001037
COAL,GERMANY,21,5,0.6480000000001066
COAL,GERMANY,21,6,0.2700000000000444
COAL,GERMANY,21,7,0.6840000000001125
COAL,GERMANY,21,8,1.026000000000169
COAL,GERMANY,21,9,0.4140000000000681
COAL,GERMANY,21,10,0.468000000000077
COAL,GERMANY,21,11,0.6120000000001008
COAL,GERMANY,21,12,0.8460000000001393
COAL,GERMANY,22,1,0.48600000000008
COAL,GERMANY,22,2,0.3060000000000504
COAL,GERMANY,22,3,0.1800000000000296
COAL,GERMANY,22,4,0.6300000000001037
COAL,GERMANY,22,5,0.6480000000001066
COAL,GERMANY,22,6,0.2700000000000444
COAL,GERMANY,22,7,0.6840000000001125
COAL,GERMANY,22,8,1.026000000000169
COAL,GERMANY,22,9,0.4140000000000681
COAL,GERMANY,22,10,0.468000000000077
COAL,GERMANY,22,11,0.6120000000001008
COAL,GERMANY,22,12,0.8460000000001393
COAL,GERMANY,23,1,0.48600000000008
COAL,GERMANY,23,2,0.3060000000000504
COAL,GERMANY,23,3,0.1800000000000296
COAL,GERMANY,23,4,0.6300000000001037
COAL,GERMANY,23,5,0.6480000000001066
COAL,GERMANY,23,6,0.2700000000000444
COAL,GERMANY,23,7,0.6840000000001125
COAL,GERMANY,23,8,1.026000000000169
COAL,GERMANY,23,9,0.4140000000000681
COAL,GERMANY,23,10,0.468000000000077
COAL,GERMANY,23,11,0.6120000000001008
COAL,GERMANY,23,12,0.8460000000001393
COAL,GERMANY,24,1,0.48600000000008
COAL,GERMANY,24,2,0.3060000000000504
COAL,GERMANY,24,3,0.1800000000000296
COAL,GERMANY,24,4,0.6300000000001037
COAL,GERMANY,24,5,0.6480000000001066
COAL,GERMANY,24,6,0.2700000000000444
COAL,GERMANY,24,7,0.6840000000001125
COAL,GERMANY,24,8,1.026000000000169
COAL,GERMANY,24,9,0.4140000000000681
COAL,GERMANY,24,10,0.468000000000077
COAL,GERMANY,24,11,0.6120000000001008
COAL,GERMANY,24,12,0.8460000000001393
ELECTRICITY,GERMANY,1,1,4.680794487344541e-11
ELECTRICITY,GERMANY,1,2,1.433609999415701
ELECTRICITY,GERMANY,1,3,0.8432999997081246
